name,month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Jack Reacher: Sin regreso,10,0,0,0,0,0,0,0,0,0,1,0,0
"Hail, Caesar!",2,0,1,0,0,0,0,0,0,0,0,0,0
The Legend of Tarzan,7,0,0,0,0,0,0,1,0,0,0,0,0
Maudie,8,0,0,0,0,0,0,0,1,0,0,0,0
Meet the Blacks,4,0,0,0,1,0,0,0,0,0,0,0,0
El beb� de Bridget Jones,9,0,0,0,0,0,0,0,0,1,0,0,0
El cliente,3,0,0,1,0,0,0,0,0,0,0,0,0
Resident Evil: The Final Chapter,1,1,0,0,0,0,0,0,0,0,0,0,0
Keeping Up with the Joneses,10,0,0,0,0,0,0,0,0,0,1,0,0
El demonio ne�n,6,0,0,0,0,0,1,0,0,0,0,0,0
El especialista: La resurrecci�n,8,0,0,0,0,0,0,0,1,0,0,0,0
El fin del sue�o americano,10,0,0,0,0,0,0,0,0,0,1,0,0
War Dogs,8,0,0,0,0,0,0,0,1,0,0,0,0
Warcraft: The Beginning,6,0,0,0,0,0,1,0,0,0,0,0,0
Ella es un monstruo,6,0,0,0,0,0,1,0,0,0,0,0,0
A Monster Calls,1,1,0,0,0,0,0,0,0,0,0,0,0
Mi pap� es un gato,8,0,0,0,0,0,0,0,1,0,0,0,0
Billy Lynn's Long Halftime Walk,11,0,0,0,0,0,0,0,0,0,0,1,0
In a Valley of Violence,10,0,0,0,0,0,0,0,0,0,1,0,0
Wakefield,5,0,0,0,0,1,0,0,0,0,0,0,0
Risen,2,0,1,0,0,0,0,0,0,0,0,0,0
Rogue One,12,0,0,0,0,0,0,0,0,0,0,0,1
Sausage Party,8,0,0,0,0,0,0,0,1,0,0,0,0
The Shallows,6,0,0,0,0,0,1,0,0,0,0,0,0
Max Steel,10,0,0,0,0,0,0,0,0,0,1,0,0
Me Before You,6,0,0,0,0,0,1,0,0,0,0,0,0
Rules Don't Apply,11,0,0,0,0,0,0,0,0,0,0,1,0
Bad Santa 2,11,0,0,0,0,0,0,0,0,0,0,1,0
D�a del atentado,1,1,0,0,0,0,0,0,0,0,0,0,0
Eddie the Eagle,2,0,1,0,0,0,0,0,0,0,0,0,0
Kubo and the Two Strings,8,0,0,0,0,0,0,0,1,0,0,0,0
A United Kingdom,2,0,1,0,0,0,0,0,0,0,0,0,0
The Light Between Oceans,9,0,0,0,0,0,0,0,0,1,0,0,0
Keanu,4,0,0,0,1,0,0,0,0,0,0,0,0
Allegiant,3,0,0,1,0,0,0,0,0,0,0,0,0
Almost Christmas,11,0,0,0,0,0,0,0,0,0,0,1,0
Middle School: The Worst Years of My Life,10,0,0,0,0,0,0,0,0,0,1,0,0
La tortuga roja,1,1,0,0,0,0,0,0,0,0,0,0,0
The Disappointments Room,9,0,0,0,0,0,0,0,0,1,0,0,0
The Hollars,8,0,0,0,0,0,0,0,1,0,0,0,0
Hidden Figures,1,1,0,0,0,0,0,0,0,0,0,0,0
Anthropoid,9,0,0,0,0,0,0,0,0,1,0,0,0
Central Intelligence,6,0,0,0,0,0,1,0,0,0,0,0,0
Certain Women,2,0,1,0,0,0,0,0,0,0,0,0,0
The Darkness,5,0,0,0,0,1,0,0,0,0,0,0,0
The Conjuring 2,6,0,0,0,0,0,1,0,0,0,0,0,0
The Comedian,2,0,1,0,0,0,0,0,0,0,0,0,0
Their Finest,4,0,0,0,1,0,0,0,0,0,0,0,0
Lights Out,7,0,0,0,0,0,0,1,0,0,0,0,0
The Choice,2,0,1,0,0,0,0,0,0,0,0,0,0
The Brothers Grimsby,3,0,0,1,0,0,0,0,0,0,0,0,0
The Boy,1,1,0,0,0,0,0,0,0,0,0,0,0
The Edge of Seventeen,11,0,0,0,0,0,0,0,0,0,0,1,0
Leap!,8,0,0,0,0,0,0,0,1,0,0,0,0
Suicide Squad,8,0,0,0,0,0,0,0,1,0,0,0,0
Captain Fantastic,7,0,0,0,0,0,0,1,0,0,0,0,0
The Girl on the Train,10,0,0,0,0,0,0,0,0,0,1,0,0
Assassin's Creed,12,0,0,0,0,0,0,0,0,0,0,0,1
The Founder,1,1,0,0,0,0,0,0,0,0,0,0,0
The Forest,1,1,0,0,0,0,0,0,0,0,0,0,0
The Finest Hours,1,1,0,0,0,0,0,0,0,0,0,0,0
Caf� Society,8,0,0,0,0,0,0,0,1,0,0,0,0
Arrival,11,0,0,0,0,0,0,0,0,0,0,1,0
The Eyes of My Mother,12,0,0,0,0,0,0,0,0,0,0,0,1
La vida secreta de tus mascotas,7,0,0,0,0,0,0,1,0,0,0,0,0
Captain America: Civil War,5,0,0,0,0,1,0,0,0,0,0,0,0
The Exception,6,0,0,0,0,0,1,0,0,0,0,0,0
The Boss,4,0,0,0,1,0,0,0,0,0,0,0,0
The Birth of a Nation,10,0,0,0,0,0,0,0,0,0,1,0,0
Lion,1,1,0,0,0,0,0,0,0,0,0,0,0
The Belko Experiment,3,0,0,1,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles: Out of the Shadows,6,0,0,0,0,0,1,0,0,0,0,0,0
La La Land,12,0,0,0,0,0,0,0,0,0,0,0,1
Los ilusionistas 2,6,0,0,0,0,0,1,0,0,0,0,0,0
American Honey,11,0,0,0,0,0,0,0,0,0,0,1,0
Triple 9,2,0,1,0,0,0,0,0,0,0,0,0,0
The Jungle Book,4,0,0,0,1,0,0,0,0,0,0,0,0
"I, Daniel Blake",6,0,0,0,0,0,1,0,0,0,0,0,0
Love & Friendship,6,0,0,0,0,0,1,0,0,0,0,0,0
Trolls,11,0,0,0,0,0,0,0,0,0,0,1,0
Criminal,4,0,0,0,1,0,0,0,0,0,0,0,0
Swiss Army Man,7,0,0,0,0,0,0,1,0,0,0,0,0
Loving,11,0,0,0,0,0,0,0,0,0,0,1,0
Lowriders,5,0,0,0,0,1,0,0,0,0,0,0,0
Hasta el �ltimo hombre,11,0,0,0,0,0,0,0,0,0,0,1,0
Sully,9,0,0,0,0,0,0,0,0,1,0,0,0
London Has Fallen,3,0,0,1,0,0,0,0,0,0,0,0,0
La bruja de Blair,9,0,0,0,0,0,0,0,0,1,0,0,0
The Infiltrator,7,0,0,0,0,0,0,1,0,0,0,0,0
Boo! A Madea Halloween,10,0,0,0,0,0,0,0,0,0,1,0,0
The Huntsman: Winter's War,4,0,0,0,1,0,0,0,0,0,0,0,0
The Bad Batch,6,0,0,0,0,0,1,0,0,0,0,0,0
The Take,11,0,0,0,0,0,0,0,0,0,0,1,0
The BFG,7,0,0,0,0,0,0,1,0,0,0,0,0
Hell or High Water,8,0,0,0,0,0,0,0,1,0,0,0,0
Collateral Beauty,12,0,0,0,0,0,0,0,0,0,0,0,1
The 5th Wave,1,1,0,0,0,0,0,0,0,0,0,0,0
Collide,2,0,1,0,0,0,0,0,0,0,0,0,0
The Angry Birds Movie,5,0,0,0,0,1,0,0,0,0,0,0,0
Live by Night,1,1,0,0,0,0,0,0,0,0,0,0,0
Complete Unknown,8,0,0,0,0,0,0,0,1,0,0,0,0
Toni Erdmann,12,0,0,0,0,0,0,0,0,0,0,0,1
The Accountant,10,0,0,0,0,0,0,0,0,0,1,0,0
The Lost City of Z,4,0,0,0,1,0,0,0,0,0,0,0,0
The Great Wall,2,0,1,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts and Where to Find Them,11,0,0,0,0,0,0,0,0,0,0,1,0
Whiskey Tango Foxtrot,3,0,0,1,0,0,0,0,0,0,0,0,0
Kingsglaive: Final Fantasy XV,7,0,0,0,0,0,0,1,0,0,0,0,0
Fences,12,0,0,0,0,0,0,0,0,0,0,0,1
Inferno,10,0,0,0,0,0,0,0,0,0,1,0,0
Paterson,7,0,0,0,0,0,0,1,0,0,0,0,0
Ghostbusters,7,0,0,0,0,0,0,1,0,0,0,0,0
From the Land of the Moon,7,0,0,0,0,0,0,1,0,0,0,0,0
Nerve,7,0,0,0,0,0,0,1,0,0,0,0,0
Office Christmas Party,12,0,0,0,0,0,0,0,0,0,0,0,1
Popstar: Never Stop Never Stopping,6,0,0,0,0,0,1,0,0,0,0,0,0
Miss Peregrine's Home for Peculiar Children,9,0,0,0,0,0,0,0,0,1,0,0,0
Morgan,9,0,0,0,0,0,0,0,0,1,0,0,0
Neighbors 2: Sorority Rising,5,0,0,0,0,1,0,0,0,0,0,0,0
Presencia siniestra,11,0,0,0,0,0,0,0,0,0,0,1,0
Independence Day: Resurgence,6,0,0,0,0,0,1,0,0,0,0,0,0
A Hologram for the King,6,0,0,0,0,0,1,0,0,0,0,0,0
Ben-Hur,8,0,0,0,0,0,0,0,1,0,0,0,0
Florence Foster Jenkins,8,0,0,0,0,0,0,0,1,0,0,0,0
Gold,1,1,0,0,0,0,0,0,0,0,0,0,0
Moana,11,0,0,0,0,0,0,0,0,0,0,1,0
Frantz,3,0,0,1,0,0,0,0,0,0,0,0,0
Mothers and Daughters,5,0,0,0,0,1,0,0,0,0,0,0,0
Indignation,8,0,0,0,0,0,0,0,1,0,0,0,0
Personal Shopper,3,0,0,1,0,0,0,0,0,0,0,0,0
Free Fire,4,0,0,0,1,0,0,0,0,0,0,0,0
Pet,12,0,0,0,0,0,0,0,0,0,0,0,1
Pete's Dragon,8,0,0,0,0,0,0,0,1,0,0,0,0
Batman v Superman: Dawn of Justice,3,0,0,1,0,0,0,0,0,0,0,0,0
Why Him?,12,0,0,0,0,0,0,0,0,0,0,0,1
Your name,4,0,0,0,1,0,0,0,0,0,0,0,0
A Cure for Wellness,2,0,1,0,0,0,0,0,0,0,0,0,0
Gods of Egypt,2,0,1,0,0,0,0,0,0,0,0,0,0
20th Century Women,1,1,0,0,0,0,0,0,0,0,0,0,0
Mother's Day,4,0,0,0,1,0,0,0,0,0,0,0,0
Free State of Jones,6,0,0,0,0,0,1,0,0,0,0,0,0
Norman,4,0,0,0,1,0,0,0,0,0,0,0,0
The Other Side of the Door,3,0,0,1,0,0,0,0,0,0,0,0,0
Neruda,3,0,0,1,0,0,0,0,0,0,0,0,0
13 Hours,1,1,0,0,0,0,0,0,0,0,0,0,0
Batman: The Killing Joke,7,0,0,0,0,0,0,1,0,0,0,0,0
Zootopia,3,0,0,1,0,0,0,0,0,0,0,0,0
Genius,6,0,0,0,0,0,1,0,0,0,0,0,0
The Magnificent Seven,9,0,0,0,0,0,0,0,0,1,0,0,0
Ouija: Origin of Evil,10,0,0,0,0,0,0,0,0,0,1,0,0
My Big Fat Greek Wedding 2,3,0,0,1,0,0,0,0,0,0,0,0,0
Finding Dory,6,0,0,0,0,0,1,0,0,0,0,0,0
31,9,0,0,0,0,0,0,0,0,1,0,0,0
The Nice Guys,5,0,0,0,0,1,0,0,0,0,0,0,0
10 Cloverfield Lane,3,0,0,1,0,0,0,0,0,0,0,0,0
Our Kind of Traitor,9,0,0,0,0,0,0,0,0,1,0,0,0
Midnight Special,4,0,0,0,1,0,0,0,0,0,0,0,0
Goat,9,0,0,0,0,0,0,0,0,1,0,0,0
Moonlight,11,0,0,0,0,0,0,0,0,0,0,1,0
How to Be Single,2,0,1,0,0,0,0,0,0,0,0,0,0
Monster Trucks,1,1,0,0,0,0,0,0,0,0,0,0,0
Mike and Dave Need Wedding Dates,7,0,0,0,0,0,0,1,0,0,0,0,0
Miracles from Heaven,3,0,0,1,0,0,0,0,0,0,0,0,0
Nocturnal Animals,12,0,0,0,0,0,0,0,0,0,0,0,1
Money Monster,5,0,0,0,0,1,0,0,0,0,0,0,0
Zoolander 2,2,0,1,0,0,0,0,0,0,0,0,0,0
Incarnate,12,0,0,0,0,0,0,0,0,0,0,0,1
Pride and Prejudice and Zombies,2,0,1,0,0,0,0,0,0,0,0,0,0
Mr. Church,9,0,0,0,0,0,0,0,0,1,0,0,0
Paris Can Wait,8,0,0,0,0,0,0,0,1,0,0,0,0
X-Men: Apocalypse,5,0,0,0,0,1,0,0,0,0,0,0,0
Everybody Wants Some!!,4,0,0,0,1,0,0,0,0,0,0,0,0
The Stanford Prison Experiment,7,0,0,0,0,0,0,1,0,0,0,0,0
Youth,12,0,0,0,0,0,0,0,0,0,0,0,1
True Story,4,0,0,0,1,0,0,0,0,0,0,0,0
Synchronicity,1,1,0,0,0,0,0,0,0,0,0,0,0
Crimson Peak,10,0,0,0,0,0,0,0,0,0,1,0,0
Knight of Cups,3,0,0,1,0,0,0,0,0,0,0,0,0
Insurgent,3,0,0,1,0,0,0,0,0,0,0,0,0
Los 33,11,0,0,0,0,0,0,0,0,0,0,1,0
Crimenes ocultos,4,0,0,0,1,0,0,0,0,0,0,0,0
Joy,12,0,0,0,0,0,0,0,0,0,0,0,1
Our Brand Is Crisis,10,0,0,0,0,0,0,0,0,0,1,0,0
Mortdecai,1,1,0,0,0,0,0,0,0,0,0,0,0
Terminator Genisys,7,0,0,0,0,0,0,1,0,0,0,0,0
American Ultra,8,0,0,0,0,0,0,0,1,0,0,0,0
Into the Forest,7,0,0,0,0,0,0,1,0,0,0,0,0
Creed,11,0,0,0,0,0,0,0,0,0,0,1,0
Tale of Tales,4,0,0,0,1,0,0,0,0,0,0,0,0
Focus,2,0,1,0,0,0,0,0,0,0,0,0,0
I'll See You in My Dreams,5,0,0,0,0,1,0,0,0,0,0,0,0
Conspiraci�n y poder,10,0,0,0,0,0,0,0,0,0,1,0,0
Ted 2,6,0,0,0,0,0,1,0,0,0,0,0,0
Cop Car,8,0,0,0,0,0,0,0,1,0,0,0,0
Tomorrowland,5,0,0,0,0,1,0,0,0,0,0,0,0
Tangerine,7,0,0,0,0,0,0,1,0,0,0,0,0
The Age of Adaline,4,0,0,0,1,0,0,0,0,0,0,0,0
The Intern,9,0,0,0,0,0,0,0,0,1,0,0,0
3 Generations,9,0,0,0,0,0,0,0,0,1,0,0,0
Cinderella,3,0,0,1,0,0,0,0,0,0,0,0,0
The Overnight,6,0,0,0,0,0,1,0,0,0,0,0,0
Jurassic World,6,0,0,0,0,0,1,0,0,0,0,0,0
The Wedding Ringer,1,1,0,0,0,0,0,0,0,0,0,0,0
The Perfect Guy,9,0,0,0,0,0,0,0,0,1,0,0,0
Captive,9,0,0,0,0,0,0,0,0,1,0,0,0
Jupiter Ascending,2,0,1,0,0,0,0,0,0,0,0,0,0
Home,3,0,0,1,0,0,0,0,0,0,0,0,0
Furious 7,4,0,0,0,1,0,0,0,0,0,0,0,0
High-Rise,4,0,0,0,1,0,0,0,0,0,0,0,0
The Hateful Eight,12,0,0,0,0,0,0,0,0,0,0,0,1
The Walk,10,0,0,0,0,0,0,0,0,0,1,0,0
Mr. Holmes,7,0,0,0,0,0,0,1,0,0,0,0,0
The Family Fang,5,0,0,0,0,1,0,0,0,0,0,0,0
La �ltima ola,7,0,0,0,0,0,0,1,0,0,0,0,0
M�s fuerte que las bombas,7,0,0,0,0,0,0,1,0,0,0,0,0
The Visit,9,0,0,0,0,0,0,0,0,1,0,0,0
"Hello, My Name Is Doris",4,0,0,0,1,0,0,0,0,0,0,0,0
The Vatican Tapes,8,0,0,0,0,0,0,0,1,0,0,0,0
Mustang: belleza salvaje,2,0,1,0,0,0,0,0,0,0,0,0,0
Bridge of Spies,10,0,0,0,0,0,0,0,0,0,1,0,0
The Gunman,3,0,0,1,0,0,0,0,0,0,0,0,0
Mr. Right,4,0,0,0,1,0,0,0,0,0,0,0,0
Get Hard,3,0,0,1,0,0,0,0,0,0,0,0,0
Burnt,10,0,0,0,0,0,0,0,0,0,1,0,0
The Good Dinosaur,11,0,0,0,0,0,0,0,0,0,0,1,0
Hitman: Agent 47,8,0,0,0,0,0,0,0,1,0,0,0,0
Brooklyn,11,0,0,0,0,0,0,0,0,0,0,1,0
The End of the Tour,11,0,0,0,0,0,0,0,0,0,0,1,0
Carol,1,1,0,0,0,0,0,0,0,0,0,0,0
La noche del demonio: Capitulo 3,6,0,0,0,0,0,1,0,0,0,0,0,0
The Dressmaker,10,0,0,0,0,0,0,0,0,0,1,0,0
La habitaci�n,1,1,0,0,0,0,0,0,0,0,0,0,0
The Big Short,12,0,0,0,0,0,0,0,0,0,0,0,1
Z for Zachariah,8,0,0,0,0,0,0,0,1,0,0,0,0
The Blackcoat's Daughter,2,0,1,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 2,11,0,0,0,0,0,0,0,0,0,0,1,0
The Boy Next Door,1,1,0,0,0,0,0,0,0,0,0,0,0
I Saw the Light,4,0,0,0,1,0,0,0,0,0,0,0,0
The Bronze,3,0,0,1,0,0,0,0,0,0,0,0,0
Alvin and the Chipmunks: The Road Chip,12,0,0,0,0,0,0,0,0,0,0,0,1
Freeheld,3,0,0,1,0,0,0,0,0,0,0,0,0
Born to Be Blue,3,0,0,1,0,0,0,0,0,0,0,0,0
Chi-Raq,12,0,0,0,0,0,0,0,0,0,0,0,1
Avengers: Age of Ultron,5,0,0,0,0,1,0,0,0,0,0,0,0
Frente al mar,1,1,0,0,0,0,0,0,0,0,0,0,0
Anomalisa,2,0,1,0,0,0,0,0,0,0,0,0,0
La langosta,10,0,0,0,0,0,0,0,0,0,1,0,0
The D Train,5,0,0,0,0,1,0,0,0,0,0,0,0
The DUFF,2,0,1,0,0,0,0,0,0,0,0,0,0
Chappie,3,0,0,1,0,0,0,0,0,0,0,0,0
The Danish Girl,1,1,0,0,0,0,0,0,0,0,0,0,0
Ant-Man,7,0,0,0,0,0,0,1,0,0,0,0,0
The Diary of a Teenage Girl,8,0,0,0,0,0,0,0,1,0,0,0,0
The Peanuts Movie,11,0,0,0,0,0,0,0,0,0,0,1,0
Legend,11,0,0,0,0,0,0,0,0,0,0,1,0
The Witch,2,0,1,0,0,0,0,0,0,0,0,0,0
Love the Coopers,11,0,0,0,0,0,0,0,0,0,0,1,0
Aloha,5,0,0,0,0,1,0,0,0,0,0,0,0
The Night Before,11,0,0,0,0,0,0,0,0,0,0,1,0
Run All Night,3,0,0,1,0,0,0,0,0,0,0,0,0
Poltergeist,5,0,0,0,0,1,0,0,0,0,0,0,0
Maze Runner: The Scorch Trials,9,0,0,0,0,0,0,0,0,1,0,0,0
"McFarland, USA",2,0,1,0,0,0,0,0,0,0,0,0,0
The Martian,10,0,0,0,0,0,0,0,0,0,1,0,0
Rock the Kasbah,10,0,0,0,0,0,0,0,0,0,1,0,0
In the Heart of the Sea,12,0,0,0,0,0,0,0,0,0,0,0,1
A Walk in the Woods,9,0,0,0,0,0,0,0,0,1,0,0,0
Victor Frankenstein,11,0,0,0,0,0,0,0,0,0,0,1,0
Me and Earl and the Dying Girl,7,0,0,0,0,0,0,1,0,0,0,0,0
Eye in the Sky,4,0,0,0,1,0,0,0,0,0,0,0,0
Experimenter,10,0,0,0,0,0,0,0,0,0,1,0,0
San Andreas,5,0,0,0,0,1,0,0,0,0,0,0,0
Pixels,7,0,0,0,0,0,0,1,0,0,0,0,0
Dragon Blade,9,0,0,0,0,0,0,0,0,1,0,0,0
Vacation,7,0,0,0,0,0,0,1,0,0,0,0,0
Pitch Perfect 2,5,0,0,0,0,1,0,0,0,0,0,0,0
Miss You Already,9,0,0,0,0,0,0,0,0,1,0,0,0
Scouts Guide to the Zombie Apocalypse,10,0,0,0,0,0,0,0,0,0,1,0,0
Secret in Their Eyes,11,0,0,0,0,0,0,0,0,0,0,1,0
Dope,6,0,0,0,0,0,1,0,0,0,0,0,0
45 Years,12,0,0,0,0,0,0,0,0,0,0,0,1
Black Mass,9,0,0,0,0,0,0,0,0,1,0,0,0
Far from the Madding Crowd,5,0,0,0,0,1,0,0,0,0,0,0,0
The Lazarus Effect,2,0,1,0,0,0,0,0,0,0,0,0,0
The Last Witch Hunter,10,0,0,0,0,0,0,0,0,0,1,0,0
The Man from U.N.C.L.E.,8,0,0,0,0,0,0,0,1,0,0,0,0
Ip Man 3,12,0,0,0,0,0,0,0,0,0,0,0,1
Mississippi Grind,8,0,0,0,0,0,0,0,1,0,0,0,0
Remember,12,0,0,0,0,0,0,0,0,0,0,0,1
Krisha,3,0,0,1,0,0,0,0,0,0,0,0,0
El principito,8,0,0,0,0,0,0,0,1,0,0,0,0
The Second Best Exotic Marigold Hotel,3,0,0,1,0,0,0,0,0,0,0,0,0
Green Room,5,0,0,0,0,1,0,0,0,0,0,0,0
El transportador recargado,9,0,0,0,0,0,0,0,0,1,0,0,0
The Sea of Trees,8,0,0,0,0,0,0,0,1,0,0,0,0
Krampus,12,0,0,0,0,0,0,0,0,0,0,0,1
Misi�n: imposible 5 - Naci�n secreta,7,0,0,0,0,0,0,1,0,0,0,0,0
Regression,10,0,0,0,0,0,0,0,0,0,1,0,0
Esta chica es un desastre,7,0,0,0,0,0,0,1,0,0,0,0,0
We Are Your Friends,8,0,0,0,0,0,0,0,1,0,0,0,0
Equals,5,0,0,0,0,1,0,0,0,0,0,0,0
The Longest Ride,4,0,0,0,1,0,0,0,0,0,0,0,0
War Room,8,0,0,0,0,0,0,0,1,0,0,0,0
El hijo de Sa�l,2,0,1,0,0,0,0,0,0,0,0,0,0
El gran peque�o,4,0,0,0,1,0,0,0,0,0,0,0,0
Minions,7,0,0,0,0,0,0,1,0,0,0,0,0
Goosebumps,10,0,0,0,0,0,0,0,0,0,1,0,0
Hotel Transylvania 2,9,0,0,0,0,0,0,0,0,1,0,0,0
The Man Who Knew Infinity,4,0,0,0,1,0,0,0,0,0,0,0,0
Everest,9,0,0,0,0,0,0,0,0,1,0,0,0
Revancha,7,0,0,0,0,0,0,1,0,0,0,0,0
Revenant: El Renacido,1,1,0,0,0,0,0,0,0,0,0,0,0
Ricki and the Flash,8,0,0,0,0,0,0,0,1,0,0,0,0
Project Almanac,1,1,0,0,0,0,0,0,0,0,0,0,0
Hot Tub Time Machine 2,2,0,1,0,0,0,0,0,0,0,0,0,0
Irrational Man,8,0,0,0,0,0,0,0,1,0,0,0,0
Bajo la arena,5,0,0,0,0,1,0,0,0,0,0,0,0
Shaun the Sheep Movie,8,0,0,0,0,0,0,0,1,0,0,0,0
Self/less,7,0,0,0,0,0,0,1,0,0,0,0,0
Woman in Gold,4,0,0,0,1,0,0,0,0,0,0,0,0
Straight Outta Compton,8,0,0,0,0,0,0,0,1,0,0,0,0
Paul Blart: Mall Cop 2,4,0,0,0,1,0,0,0,0,0,0,0,0
Magic Mike XXL,7,0,0,0,0,0,0,1,0,0,0,0,0
Jem and the Holograms,10,0,0,0,0,0,0,0,0,0,1,0,0
Paranormal Activity: The Ghost Dimension,10,0,0,0,0,0,0,0,0,0,1,0,0
Maggie's Plan,4,0,0,0,1,0,0,0,0,0,0,0,0
Maggie,5,0,0,0,0,1,0,0,0,0,0,0,0
Strangerland,7,0,0,0,0,0,0,1,0,0,0,0,0
Strange Magic,1,1,0,0,0,0,0,0,0,0,0,0,0
Hardcore: Misi�n extrema,4,0,0,0,1,0,0,0,0,0,0,0,0
Spectre,11,0,0,0,0,0,0,0,0,0,0,1,0
Macbeth,12,0,0,0,0,0,0,0,0,0,0,0,1
Inside Out,6,0,0,0,0,0,1,0,0,0,0,0,0
Danny Collins,4,0,0,0,1,0,0,0,0,0,0,0,0
Steve Jobs,10,0,0,0,0,0,0,0,0,0,1,0,0
Una historia de amor y oscuridad,8,0,0,0,0,0,0,0,1,0,0,0,0
Mad Max: Fury Road,5,0,0,0,0,1,0,0,0,0,0,0,0
Knock Knock,10,0,0,0,0,0,0,0,0,0,1,0,0
Spotlight,11,0,0,0,0,0,0,0,0,0,0,1,0
Star Wars: The Force Awakens,12,0,0,0,0,0,0,0,0,0,0,0,1
Spy,6,0,0,0,0,0,1,0,0,0,0,0,0
Fifty Shades of Grey,2,0,1,0,0,0,0,0,0,0,0,0,0
The Lady in the Van,2,0,1,0,0,0,0,0,0,0,0,0,0
Jenny's Wedding,7,0,0,0,0,0,0,1,0,0,0,0,0
Un hombre gru��n,9,0,0,0,0,0,0,0,0,1,0,0,0
Daddy's Home,12,0,0,0,0,0,0,0,0,0,0,0,1
Unfinished Business,3,0,0,1,0,0,0,0,0,0,0,0,0
The SpongeBob Movie: Sponge Out of Water,2,0,1,0,0,0,0,0,0,0,0,0,0
Mistress America,9,0,0,0,0,0,0,0,0,1,0,0,0
Sicario,10,0,0,0,0,0,0,0,0,0,1,0,0
The Meddler,6,0,0,0,0,0,1,0,0,0,0,0,0
Pan,10,0,0,0,0,0,0,0,0,0,1,0,0
A Bigger Splash,5,0,0,0,0,1,0,0,0,0,0,0,0
Sinister 2,8,0,0,0,0,0,0,0,1,0,0,0,0
Sisters,12,0,0,0,0,0,0,0,0,0,0,0,1
Desierto,4,0,0,0,1,0,0,0,0,0,0,0,0
90 Minutes in Heaven,9,0,0,0,0,0,0,0,0,1,0,0,0
Sleeping with Other People,8,0,0,0,0,0,0,0,1,0,0,0,0
Trumbo,11,0,0,0,0,0,0,0,0,0,0,1,0
Paper Towns,7,0,0,0,0,0,0,1,0,0,0,0,0
Slow West,4,0,0,0,1,0,0,0,0,0,0,0,0
Suffragette,12,0,0,0,0,0,0,0,0,0,0,0,1
Jane Got a Gun,1,1,0,0,0,0,0,0,0,0,0,0,0
Demolition,4,0,0,0,1,0,0,0,0,0,0,0,0
Blackhat,1,1,0,0,0,0,0,0,0,0,0,0,0
Blackway,6,0,0,0,0,0,1,0,0,0,0,0,0
The Judge,10,0,0,0,0,0,0,0,0,0,1,0,0
The Keeping Room,9,0,0,0,0,0,0,0,0,1,0,0,0
The November Man,8,0,0,0,0,0,0,0,1,0,0,0,0
The Guest,9,0,0,0,0,0,0,0,0,1,0,0,0
Horrible Bosses 2,11,0,0,0,0,0,0,0,0,0,0,1,0
Before I Go to Sleep,10,0,0,0,0,0,0,0,0,0,1,0,0
The Hunger Games: Mockingjay - Part 1,11,0,0,0,0,0,0,0,0,0,0,1,0
Honeymoon,9,0,0,0,0,0,0,0,0,1,0,0,0
